date,value,sum,rate
2022/9/30,56,164,34.15
2022/9/30,38,164,23.17
2022/9/30,15,164,9.15
2022/9/30,15,164,9.15
2022/9/30,14,164,8.54
2022/9/30,5,164,3.05
2022/9/30,5,164,3.05
2022/9/30,3,164,1.83
2022/9/30,3,164,1.83
2022/9/30,3,164,1.83
2022/9/30,1,164,0.61
2022/9/30,1,164,0.61
2022/9/30,1,164,0.61
2022/9/30,1,164,0.61
2022/9/30,1,164,0.61
2022/9/30,1,164,0.61
2022/9/30,1,164,0.61
2022/9/29,31,103,30.1
2022/9/29,22,103,21.36
2022/9/29,13,103,12.62
2022/9/29,7,103,6.8
2022/9/29,6,103,5.83
2022/9/29,4,103,3.88
2022/9/29,4,103,3.88
2022/9/29,3,103,2.91
2022/9/29,3,103,2.91
2022/9/29,2,103,1.94
2022/9/29,2,103,1.94
2022/9/29,1,103,0.97
2022/9/29,1,103,0.97
2022/9/29,1,103,0.97
2022/9/29,1,103,0.97
2022/9/29,1,103,0.97
2022/9/29,1,103,0.97
2022/9/28,29,119,24.37
2022/9/28,28,119,23.53
2022/9/28,23,119,19.33
2022/9/28,9,119,7.56
2022/9/28,7,119,5.88
2022/9/28,5,119,4.2
2022/9/28,5,119,4.2
2022/9/28,3,119,2.52
2022/9/28,3,119,2.52
2022/9/28,2,119,1.68
2022/9/28,1,119,0.84
2022/9/28,1,119,0.84
2022/9/28,1,119,0.84
2022/9/28,1,119,0.84
2022/9/28,1,119,0.84
2022/9/27,39,122,31.97
2022/9/27,37,122,30.33
2022/9/27,11,122,9.02
2022/9/27,6,122,4.92
2022/9/27,6,122,4.92
2022/9/27,4,122,3.28
2022/9/27,3,122,2.46
2022/9/27,3,122,2.46
2022/9/27,3,122,2.46
2022/9/27,3,122,2.46
2022/9/27,2,122,1.64
2022/9/27,2,122,1.64
2022/9/27,1,122,0.82
2022/9/27,1,122,0.82
2022/9/27,1,122,0.82
2022/9/26,102,196,52.04
2022/9/26,28,196,14.29
2022/9/26,16,196,8.16
2022/9/26,13,196,6.63
2022/9/26,7,196,3.57
2022/9/26,5,196,2.55
2022/9/26,4,196,2.04
2022/9/26,4,196,2.04
2022/9/26,4,196,2.04
2022/9/26,3,196,1.53
2022/9/26,3,196,1.53
2022/9/26,2,196,1.02
2022/9/26,1,196,0.51
2022/9/26,1,196,0.51
2022/9/26,1,196,0.51
2022/9/26,1,196,0.51
2022/9/26,1,196,0.51
2022/9/25,77,226,34.07
2022/9/25,40,226,17.7
2022/9/25,29,226,12.83
2022/9/25,15,226,6.64
2022/9/25,14,226,6.19
2022/9/25,14,226,6.19
2022/9/25,11,226,4.87
2022/9/25,11,226,4.87
2022/9/25,5,226,2.21
2022/9/25,3,226,1.33
2022/9/25,3,226,1.33
2022/9/25,1,226,0.44
2022/9/25,1,226,0.44
2022/9/25,1,226,0.44
2022/9/25,1,226,0.44
2022/9/24,100,241,41.49
2022/9/24,32,241,13.28
2022/9/24,25,241,10.37
2022/9/24,24,241,9.96
2022/9/24,18,241,7.47
2022/9/24,13,241,5.39
2022/9/24,6,241,2.49
2022/9/24,5,241,2.07
2022/9/24,3,241,1.24
2022/9/24,2,241,0.83
2022/9/24,2,241,0.83
2022/9/24,2,241,0.83
2022/9/24,2,241,0.83
2022/9/24,1,241,0.41
2022/9/24,1,241,0.41
2022/9/24,1,241,0.41
2022/9/24,1,241,0.41
2022/9/24,1,241,0.41
2022/9/24,1,241,0.41
2022/9/24,1,241,0.41
2022/9/23,59,146,40.41
2022/9/23,22,146,15.07
2022/9/23,10,146,6.85
2022/9/23,10,146,6.85
2022/9/23,8,146,5.48
2022/9/23,7,146,4.79
2022/9/23,6,146,4.11
2022/9/23,6,146,4.11
2022/9/23,3,146,2.05
2022/9/23,3,146,2.05
2022/9/23,2,146,1.37
2022/9/23,2,146,1.37
2022/9/23,2,146,1.37
2022/9/23,1,146,0.68
2022/9/23,1,146,0.68
2022/9/23,1,146,0.68
2022/9/23,1,146,0.68
2022/9/23,1,146,0.68
2022/9/23,1,146,0.68
2022/9/22,129,233,55.36
2022/9/22,29,233,12.45
2022/9/22,19,233,8.15
2022/9/22,10,233,4.29
2022/9/22,10,233,4.29
2022/9/22,9,233,3.86
2022/9/22,5,233,2.15
2022/9/22,4,233,1.72
2022/9/22,3,233,1.29
2022/9/22,2,233,0.86
2022/9/22,2,233,0.86
2022/9/22,2,233,0.86
2022/9/22,2,233,0.86
2022/9/22,1,233,0.43
2022/9/22,1,233,0.43
2022/9/22,1,233,0.43
2022/9/22,1,233,0.43
2022/9/22,1,233,0.43
2022/9/22,1,233,0.43
2022/9/22,1,233,0.43
2022/9/21,113,234,48.29
2022/9/21,27,234,11.54
2022/9/21,24,234,10.26
2022/9/21,10,234,4.27
2022/9/21,8,234,3.42
2022/9/21,7,234,2.99
2022/9/21,7,234,2.99
2022/9/21,7,234,2.99
2022/9/21,6,234,2.56
2022/9/21,6,234,2.56
2022/9/21,4,234,1.71
2022/9/21,4,234,1.71
2022/9/21,3,234,1.28
2022/9/21,2,234,0.85
2022/9/21,1,234,0.43
2022/9/21,1,234,0.43
2022/9/21,1,234,0.43
2022/9/21,1,234,0.43
2022/9/21,1,234,0.43
2022/9/21,1,234,0.43
2022/9/20,86,278,30.94
2022/9/20,64,278,23.02
2022/9/20,45,278,16.19
2022/9/20,31,278,11.15
2022/9/20,9,278,3.24
2022/9/20,7,278,2.52
2022/9/20,6,278,2.16
2022/9/20,5,278,1.8
2022/9/20,4,278,1.44
2022/9/20,4,278,1.44
2022/9/20,4,278,1.44
2022/9/20,2,278,0.72
2022/9/20,2,278,0.72
2022/9/20,2,278,0.72
2022/9/20,2,278,0.72
2022/9/20,1,278,0.36
2022/9/20,1,278,0.36
2022/9/20,1,278,0.36
2022/9/20,1,278,0.36
2022/9/20,1,278,0.36
2022/9/19,89,293,30.38
2022/9/19,72,293,24.57
2022/9/19,37,293,12.63
2022/9/19,12,293,4.1
2022/9/19,12,293,4.1
2022/9/19,11,293,3.75
2022/9/19,10,293,3.41
2022/9/19,7,293,2.39
2022/9/19,7,293,2.39
2022/9/19,7,293,2.39
2022/9/19,4,293,1.37
2022/9/19,4,293,1.37
2022/9/19,3,293,1.02
2022/9/19,3,293,1.02
2022/9/19,3,293,1.02
2022/9/19,3,293,1.02
2022/9/19,2,293,0.68
2022/9/19,1,293,0.34
2022/9/19,1,293,0.34
2022/9/19,1,293,0.34
2022/9/19,1,293,0.34
2022/9/19,1,293,0.34
2022/9/19,1,293,0.34
2022/9/19,1,293,0.34
2022/9/18,93,315,29.52
2022/9/18,58,315,18.41
2022/9/18,54,315,17.14
2022/9/18,45,315,14.29
2022/9/18,21,315,6.67
2022/9/18,6,315,1.9
2022/9/18,5,315,1.59
2022/9/18,4,315,1.27
2022/9/18,4,315,1.27
2022/9/18,3,315,0.95
2022/9/18,3,315,0.95
2022/9/18,3,315,0.95
2022/9/18,3,315,0.95
2022/9/18,3,315,0.95
2022/9/18,2,315,0.63
2022/9/18,2,315,0.63
2022/9/18,2,315,0.63
2022/9/18,1,315,0.32
2022/9/18,1,315,0.32
2022/9/18,1,315,0.32
2022/9/18,1,315,0.32
2022/9/17,111,315,35.24
2022/9/17,54,315,17.14
2022/9/17,37,315,11.75
2022/9/17,27,315,8.57
2022/9/17,24,315,7.62
2022/9/17,11,315,3.49
2022/9/17,10,315,3.17
2022/9/17,8,315,2.54
2022/9/17,4,315,1.27
2022/9/17,4,315,1.27
2022/9/17,4,315,1.27
2022/9/17,3,315,0.95
2022/9/17,3,315,0.95
2022/9/17,3,315,0.95
2022/9/17,2,315,0.63
2022/9/17,2,315,0.63
2022/9/17,2,315,0.63
2022/9/17,2,315,0.63
2022/9/17,1,315,0.32
2022/9/17,1,315,0.32
2022/9/17,1,315,0.32
2022/9/17,1,315,0.32
2022/9/16,74,255,29.02
2022/9/16,52,255,20.39
2022/9/16,39,255,15.29
2022/9/16,25,255,9.8
2022/9/16,18,255,7.06
2022/9/16,13,255,5.1
2022/9/16,6,255,2.35
2022/9/16,5,255,1.96
2022/9/16,3,255,1.18
2022/9/16,3,255,1.18
2022/9/16,2,255,0.78
2022/9/16,2,255,0.78
2022/9/16,2,255,0.78
2022/9/16,2,255,0.78
2022/9/16,2,255,0.78
2022/9/16,1,255,0.39
2022/9/16,1,255,0.39
2022/9/16,1,255,0.39
2022/9/16,1,255,0.39
2022/9/16,1,255,0.39
2022/9/16,1,255,0.39
2022/9/16,1,255,0.39
2022/9/15,340,755,45.03
2022/9/15,219,755,29.01
2022/9/15,84,755,11.13
2022/9/15,49,755,6.49
2022/9/15,11,755,1.46
2022/9/15,10,755,1.32
2022/9/15,5,755,0.66
2022/9/15,5,755,0.66
2022/9/15,4,755,0.53
2022/9/15,4,755,0.53
2022/9/15,3,755,0.4
2022/9/15,3,755,0.4
2022/9/15,3,755,0.4
2022/9/15,2,755,0.26
2022/9/15,2,755,0.26
2022/9/15,2,755,0.26
2022/9/15,2,755,0.26
2022/9/15,2,755,0.26
2022/9/15,2,755,0.26
2022/9/15,1,755,0.13
2022/9/15,1,755,0.13
2022/9/15,1,755,0.13
2022/9/14,293,506,57.91
2022/9/14,58,506,11.46
2022/9/14,51,506,10.08
2022/9/14,28,506,5.53
2022/9/14,15,506,2.96
2022/9/14,10,506,1.98
2022/9/14,7,506,1.38
2022/9/14,6,506,1.19
2022/9/14,6,506,1.19
2022/9/14,5,506,0.99
2022/9/14,4,506,0.79
2022/9/14,4,506,0.79
2022/9/14,3,506,0.59
2022/9/14,3,506,0.59
2022/9/14,3,506,0.59
2022/9/14,2,506,0.4
2022/9/14,1,506,0.2
2022/9/14,1,506,0.2
2022/9/14,1,506,0.2
2022/9/14,1,506,0.2
2022/9/14,1,506,0.2
2022/9/14,1,506,0.2
2022/9/14,1,506,0.2
2022/9/14,1,506,0.2
2022/9/13,176,333,52.85
2022/9/13,43,333,12.91
2022/9/13,36,333,10.81
2022/9/13,28,333,8.41
2022/9/13,7,333,2.1
2022/9/13,7,333,2.1
2022/9/13,6,333,1.8
2022/9/13,5,333,1.5
2022/9/13,5,333,1.5
2022/9/13,4,333,1.2
2022/9/13,3,333,0.9
2022/9/13,3,333,0.9
2022/9/13,2,333,0.6
2022/9/13,2,333,0.6
2022/9/13,2,333,0.6
2022/9/13,1,333,0.3
2022/9/13,1,333,0.3
2022/9/13,1,333,0.3
2022/9/13,1,333,0.3
2022/9/12,205,420,48.81
2022/9/12,67,420,15.95
2022/9/12,59,420,14.05
2022/9/12,39,420,9.29
2022/9/12,16,420,3.81
2022/9/12,9,420,2.14
2022/9/12,5,420,1.19
2022/9/12,4,420,0.95
2022/9/12,4,420,0.95
2022/9/12,3,420,0.71
2022/9/12,2,420,0.48
2022/9/12,2,420,0.48
2022/9/12,2,420,0.48
2022/9/12,1,420,0.24
2022/9/12,1,420,0.24
2022/9/12,1,420,0.24
2022/9/11,291,484,60.12
2022/9/11,50,484,10.33
2022/9/11,46,484,9.5
2022/9/11,25,484,5.17
2022/9/11,21,484,4.34
2022/9/11,8,484,1.65
2022/9/11,8,484,1.65
2022/9/11,7,484,1.45
2022/9/11,5,484,1.03
2022/9/11,5,484,1.03
2022/9/11,4,484,0.83
2022/9/11,3,484,0.62
2022/9/11,3,484,0.62
2022/9/11,2,484,0.41
2022/9/11,2,484,0.41
2022/9/11,1,484,0.21
2022/9/11,1,484,0.21
2022/9/11,1,484,0.21
2022/9/11,1,484,0.21
2022/9/10,136,351,38.75
2022/9/10,69,351,19.66
2022/9/10,57,351,16.24
2022/9/10,25,351,7.12
2022/9/10,16,351,4.56
2022/9/10,13,351,3.7
2022/9/10,5,351,1.42
2022/9/10,5,351,1.42
2022/9/10,3,351,0.85
2022/9/10,3,351,0.85
2022/9/10,3,351,0.85
2022/9/10,3,351,0.85
2022/9/10,2,351,0.57
2022/9/10,2,351,0.57
2022/9/10,2,351,0.57
2022/9/10,2,351,0.57
2022/9/10,2,351,0.57
2022/9/10,1,351,0.28
2022/9/10,1,351,0.28
2022/9/10,1,351,0.28
2022/9/9,121,330,36.67
2022/9/9,69,330,20.91
2022/9/9,54,330,16.36
2022/9/9,17,330,5.15
2022/9/9,14,330,4.24
2022/9/9,11,330,3.33
2022/9/9,7,330,2.12
2022/9/9,6,330,1.82
2022/9/9,5,330,1.52
2022/9/9,5,330,1.52
2022/9/9,4,330,1.21
2022/9/9,4,330,1.21
2022/9/9,4,330,1.21
2022/9/9,2,330,0.61
2022/9/9,2,330,0.61
2022/9/9,2,330,0.61
2022/9/9,1,330,0.3
2022/9/9,1,330,0.3
2022/9/9,1,330,0.3
2022/9/8,88,306,28.76
2022/9/8,71,306,23.2
2022/9/8,30,306,9.8
2022/9/8,24,306,7.84
2022/9/8,20,306,6.54
2022/9/8,17,306,5.56
2022/9/8,14,306,4.58
2022/9/8,14,306,4.58
2022/9/8,5,306,1.63
2022/9/8,4,306,1.31
2022/9/8,3,306,0.98
2022/9/8,2,306,0.65
2022/9/8,2,306,0.65
2022/9/8,2,306,0.65
2022/9/8,2,306,0.65
2022/9/8,2,306,0.65
2022/9/8,2,306,0.65
2022/9/8,2,306,0.65
2022/9/8,1,306,0.33
2022/9/8,1,306,0.33
2022/9/7,92,237,38.82
2022/9/7,41,237,17.3
2022/9/7,22,237,9.28
2022/9/7,17,237,7.17
2022/9/7,15,237,6.33
2022/9/7,11,237,4.64
2022/9/7,11,237,4.64
2022/9/7,8,237,3.38
2022/9/7,4,237,1.69
2022/9/7,2,237,0.84
2022/9/7,2,237,0.84
2022/9/7,2,237,0.84
2022/9/7,2,237,0.84
2022/9/7,2,237,0.84
2022/9/7,1,237,0.42
2022/9/7,1,237,0.42
2022/9/7,1,237,0.42
2022/9/7,1,237,0.42
2022/9/7,1,237,0.42
2022/9/7,1,237,0.42
2022/9/6,121,284,42.61
2022/9/6,52,284,18.31
2022/9/6,48,284,16.9
2022/9/6,15,284,5.28
2022/9/6,14,284,4.93
2022/9/6,11,284,3.87
2022/9/6,4,284,1.41
2022/9/6,3,284,1.06
2022/9/6,2,284,0.7
2022/9/6,2,284,0.7
2022/9/6,2,284,0.7
2022/9/6,2,284,0.7
2022/9/6,2,284,0.7
2022/9/6,1,284,0.35
2022/9/6,1,284,0.35
2022/9/6,1,284,0.35
2022/9/6,1,284,0.35
2022/9/6,1,284,0.35
2022/9/6,1,284,0.35
2022/9/5,126,262,48.09
2022/9/5,39,262,14.89
2022/9/5,31,262,11.83
2022/9/5,12,262,4.58
2022/9/5,10,262,3.82
2022/9/5,10,262,3.82
2022/9/5,7,262,2.67
2022/9/5,5,262,1.91
2022/9/5,4,262,1.53
2022/9/5,3,262,1.15
2022/9/5,2,262,0.76
2022/9/5,2,262,0.76
2022/9/5,2,262,0.76
2022/9/5,2,262,0.76
2022/9/5,2,262,0.76
2022/9/5,2,262,0.76
2022/9/5,1,262,0.38
2022/9/5,1,262,0.38
2022/9/5,1,262,0.38
2022/9/4,138,271,50.92
2022/9/4,42,271,15.5
2022/9/4,26,271,9.59
2022/9/4,17,271,6.27
2022/9/4,15,271,5.54
2022/9/4,8,271,2.95
2022/9/4,4,271,1.48
2022/9/4,3,271,1.11
2022/9/4,2,271,0.74
2022/9/4,2,271,0.74
2022/9/4,2,271,0.74
2022/9/4,2,271,0.74
2022/9/4,2,271,0.74
2022/9/4,1,271,0.37
2022/9/4,1,271,0.37
2022/9/4,1,271,0.37
2022/9/4,1,271,0.37
2022/9/4,1,271,0.37
2022/9/4,1,271,0.37
2022/9/4,1,271,0.37
2022/9/4,1,271,0.37
2022/9/3,292,434,67.28
2022/9/3,38,434,8.76
2022/9/3,29,434,6.68
2022/9/3,29,434,6.68
